DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,LOCATION,Cross Street,LAT,LON
211362081,04/21/2021 12:00:00 AM,04/20/2021 12:00:00 AM,26,3,Southwest,1453,2,220,ATTEMPTED ROBBERY,8410 8478,41,X,X,267,PARK/PLAYGROUND,201,OTHER CUTTING INSTRUMENT,JO,Juv Other,220,,166 BROADWAY ST,FIGUEROA ST,33.92231,-117.893348
230043138,10/31/2022 12:00:00 AM,10/28/2022 12:00:00 AM,1153,14,Pacific,579,1,110,CRIMINAL HOMICIDE,3920 6875,75,F,A,642,STREET,105,SHOTGUN,AO,Adult Other,110,,7569 VENICE ST,,33.659679,-118.575178
232880096,05/17/2023 12:00:00 AM,05/17/2023 12:00:00 AM,1370,13,Newton,842,2,350,"THEFT, PERSON",2946 9544,45,F,K,112,PARK/PLAYGROUND,200,KNIFE OR CUTTING INSTRUMENT,AA,Adult Arrest,350,,3241 MANCHESTER ST,FIGUEROA ST,33.784954,-118.602538
216065598,02/24/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1869,16,Foothill,1951,2,520,VEHICLE - ATTEMPT STOLEN,3585 5397,83,F,B,643,ALLEY,105,SHOTGUN,AA,Adult Arrest,520,520,7854 FIGUEROA ST,,33.740669,-118.174581
219135805,02/23/2023 12:00:00 AM,02/20/2023 12:00:00 AM,1368,16,Foothill,1835,1,210,ROBBERY,1920 1225,37,M,C,228,GAS STATION,101,HAND GUN,JO,Juv Other,210,,1149 BROADWAY ST,,33.648038,-118.369646
229853812,02/11/2021 12:00:00 AM,02/08/2021 12:00:00 AM,2304,16,Foothill,685,2,625,OTHER ASSAULT,9811 2285,24,M,A,140,"SCHOOL, PUBLIC",0,UNKNOWN,AO,Adult Other,625,,2247 BROADWAY ST,,34.256863,-118.280987
224697871,01/06/2024 12:00:00 AM,01/04/2024 12:00:00 AM,2279,10,West Valley,1789,1,310,BURGLARY,7660 9562,18,F,C,227,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,210,2284 BROADWAY ST,,34.094995,-118.439926
236121147,08/23/2023 12:00:00 AM,08/21/2023 12:00:00 AM,2224,8,West LA,931,2,350,"THEFT, PERSON",1271 3980,35,F,O,643,GAS STATION,101,HAND GUN,JO,Juv Other,350,,5389 PICO ST,,34.105743,-118.33711
217863308,12/07/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1847,19,Mission,948,2,624,BATTERY - SIMPLE ASSAULT,2597 8769,37,F,F,103,ALLEY,200,KNIFE OR CUTTING INSTRUMENT,IC,Invest Cont,624,350,8402 FLORENCE ST,,33.625641,-118.149181
206531090,01/21/2023 12:00:00 AM,01/19/2023 12:00:00 AM,1324,20,Olympic,1855,1,110,CRIMINAL HOMICIDE,3417 1655,27,M,H,353,"VEHICLE, PASSENGER/TRUCK",101,HAND GUN,AA,Adult Arrest,110,,3573 WESTERN ST,VERMONT AVE,33.621273,-118.35672
211241351,05/09/2022 12:00:00 AM,05/06/2022 12:00:00 AM,2316,5,Harbor,1403,2,625,OTHER ASSAULT,3883 8932,78,F,O,761,ALLEY,200,KNIFE OR CUTTING INSTRUMENT,IC,Invest Cont,625,625,1832 VENICE ST,,33.524279,-118.745751
228238482,03/27/2021 12:00:00 AM,03/24/2021 12:00:00 AM,762,5,Harbor,1708,1,510,VEHICLE - STOLEN,8374 2927,23,M,H,841,STREET,300,BLUNT INSTRUMENT,IC,Invest Cont,510,,1318 FIGUEROA ST,,34.32128,-117.898553
212366314,07/08/2022 12:00:00 AM,07/05/2022 12:00:00 AM,359,21,Topanga,1469,1,510,VEHICLE - STOLEN,7321 1886,22,F,K,791,SIDEWALK,104,RIFLE,JO,Juv Other,510,,5642 WESTERN ST,MAIN ST,34.442813,-118.522944
210127094,04/21/2023 12:00:00 AM,04/19/2023 12:00:00 AM,700,15,N Hollywood,1666,1,330,BURGLARY,8980 9697,7,M,H,627,"SCHOOL, PUBLIC",200,KNIFE OR CUTTING INSTRUMENT,JA,Juv Arrest,330,,7124 VENICE ST,MAIN ST,34.465718,-118.059015
233018137,07/23/2021 12:00:00 AM,07/22/2021 12:00:00 AM,1734,9,Van Nuys,1678,2,420,THEFT FROM MOTOR VEHICLE - GRAND,8320 2798,59,F,K,389,"VEHICLE, PASSENGER/TRUCK",102,SEMI-AUTOMATIC PISTOL,AO,Adult Other,420,,2364 MANCHESTER ST,MAIN ST,33.891562,-118.39205
228610143,07/15/2024 12:00:00 AM,07/12/2024 12:00:00 AM,1276,1,Central,1743,2,420,THEFT FROM MOTOR VEHICLE - GRAND,7977 7548,65,X,C,561,MULTI-UNIT DWELLING,105,SHOTGUN,JO,Juv Other,420,,1347 HOOPER ST,,34.192915,-118.30597
205971483,11/15/2024 12:00:00 AM,11/15/2024 12:00:00 AM,686,7,Wilshire,1101,2,624,BATTERY - SIMPLE ASSAULT,5515 8609,83,M,H,757,RESTAURANT/FAST FOOD,102,SEMI-AUTOMATIC PISTOL,JO,Juv Other,624,220,4890 VENICE ST,,34.39754,-118.422962
232213330,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1618,5,Harbor,717,1,110,CRIMINAL HOMICIDE,5831 4732,82,F,X,281,DRIVEWAY,200,KNIFE OR CUTTING INSTRUMENT,AA,Adult Arrest,110,930,9973 FLORENCE ST,MAIN ST,33.652981,-118.063258
205571204,04/03/2024 12:00:00 AM,04/01/2024 12:00:00 AM,190,17,Devonshire,848,2,740,VANDALISM,6130 9739,14,X,O,662,MULTI-UNIT DWELLING,0,UNKNOWN,JO,Juv Other,740,420,9889 VERMONT ST,MAIN ST,34.233629,-118.658716
202995857,07/08/2024 12:00:00 AM,07/05/2024 12:00:00 AM,945,13,Newton,601,2,740,VANDALISM,3307 9804,3,M,A,334,ALLEY,105,SHOTGUN,IC,Invest Cont,740,,9199 FLORENCE ST,,34.209537,-118.461645
226314282,11/22/2020 12:00:00 AM,11/19/2020 12:00:00 AM,984,4,Hollenbeck,1718,2,341,THEFT-GRAND,7112 6210,42,M,X,255,"SCHOOL, PUBLIC",201,OTHER CUTTING INSTRUMENT,AO,Adult Other,341,350,7477 VERMONT ST,,33.970419,-117.905946
221481828,11/30/2023 12:00:00 AM,11/29/2023 12:00:00 AM,1716,21,Topanga,1441,2,341,THEFT-GRAND,2667 8981,3,F,W,623,PARKING LOT,105,SHOTGUN,AO,Adult Other,341,,6961 WESTERN ST,MAIN ST,34.492086,-118.503886
225399732,05/15/2022 12:00:00 AM,05/14/2022 12:00:00 AM,733,8,West LA,2047,2,740,VANDALISM,4032 8171,70,M,C,411,DRIVEWAY,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,740,,8518 WESTERN ST,VERMONT AVE,33.64593,-118.338678
231707027,11/27/2021 12:00:00 AM,11/27/2021 12:00:00 AM,34,11,Northeast,1831,1,510,VEHICLE - STOLEN,1326 1238,74,F,H,482,DRIVEWAY,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,510,,838 MANCHESTER ST,,33.62211,-118.510658
220294263,07/23/2021 12:00:00 AM,07/23/2021 12:00:00 AM,579,12,77th Street,546,2,220,ATTEMPTED ROBBERY,9388 2122,71,F,H,351,"SCHOOL, PUBLIC",100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,220,,729 MAIN ST,,34.073096,-118.024396
236856630,11/14/2020 12:00:00 AM,11/14/2020 12:00:00 AM,1874,5,Harbor,564,2,341,THEFT-GRAND,7432 4538,84,M,O,374,RESTAURANT/FAST FOOD,103,REVOLVER,IC,Invest Cont,341,,7894 MANCHESTER ST,,34.379376,-118.573686
241960361,03/16/2021 12:00:00 AM,03/16/2021 12:00:00 AM,1515,10,West Valley,961,1,230,ASSAULT WITH DEADLY WEAPON,5241 8415,76,F,H,872,"SCHOOL, PUBLIC",500,UNKNOWN WEAPON/OTHER WEAPON,JO,Juv Other,230,,6831 MAIN ST,,33.596371,-117.878938
217897608,04/12/2024 12:00:00 AM,04/09/2024 12:00:00 AM,1448,6,Hollywood,1622,2,420,THEFT FROM MOTOR VEHICLE - GRAND,8318 4904,34,F,H,319,PARKING LOT,200,KNIFE OR CUTTING INSTRUMENT,AA,Adult Arrest,420,,2908 PICO ST,VERMONT AVE,33.961243,-118.203971
223602769,11/20/2021 12:00:00 AM,11/20/2021 12:00:00 AM,2132,17,Devonshire,2119,1,121,RAPE FORCIBLE,1536 6285,6,M,F,714,OTHER BUSINESS,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,121,,7265 FLORENCE ST,,33.857417,-118.417236
201628959,07/28/2020 12:00:00 AM,07/27/2020 12:00:00 AM,764,11,Northeast,795,2,625,OTHER ASSAULT,8836 9719,69,F,X,635,SIDEWALK,400,VEHICLE,AO,Adult Other,625,410,6948 FIGUEROA ST,,34.192212,-118.090078
203103120,07/08/2020 12:00:00 AM,07/05/2020 12:00:00 AM,318,19,Mission,1258,1,230,ASSAULT WITH DEADLY WEAPON,6805 8062,10,F,O,811,RESTAURANT/FAST FOOD,103,REVOLVER,IC,Invest Cont,230,,5466 FIGUEROA ST,,34.419926,-118.580481
229738822,02/17/2022 12:00:00 AM,02/15/2022 12:00:00 AM,1047,6,Hollywood,2183,2,220,ATTEMPTED ROBBERY,1432 8737,51,X,O,531,"VEHICLE, PASSENGER/TRUCK",101,HAND GUN,JA,Juv Arrest,220,,7488 MAIN ST,,33.973275,-118.446768
204225172,07/17/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1892,20,Olympic,727,1,210,ROBBERY,9944 6747,80,M,X,142,PARK/PLAYGROUND,105,SHOTGUN,IC,Invest Cont,210,,7298 PICO ST,,34.489057,-118.075997
215291457,01/05/2022 12:00:00 AM,01/03/2022 12:00:00 AM,1897,5,Harbor,546,2,520,VEHICLE - ATTEMPT STOLEN,2898 6506,59,M,W,359,OTHER BUSINESS,102,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,520,,8864 MAIN ST,FIGUEROA ST,33.62546,-118.736323
223105309,10/01/2024 12:00:00 AM,10/01/2024 12:00:00 AM,101,8,West LA,1174,1,110,CRIMINAL HOMICIDE,8733 4379,20,M,C,521,GAS STATION,102,SEMI-AUTOMATIC PISTOL,JO,Juv Other,110,220,9810 HOOPER ST,,33.583444,-117.973652
233017416,12/05/2021 12:00:00 AM,12/05/2021 12:00:00 AM,516,14,Pacific,940,2,624,BATTERY - SIMPLE ASSAULT,7304 3733,31,F,O,496,DRIVEWAY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,4850 MANCHESTER ST,,33.657447,-117.85872
228372785,05/21/2023 12:00:00 AM,05/18/2023 12:00:00 AM,4,18,Southeast,1891,2,740,VANDALISM,4041 9622,27,M,A,798,DRIVEWAY,400,VEHICLE,JA,Juv Arrest,740,510,9553 VENICE ST,,33.721366,-117.90441
236738268,06/25/2021 12:00:00 AM,06/22/2021 12:00:00 AM,1822,5,Harbor,2196,2,930,CRIMINAL THREATS,4952 5512,51,F,C,589,PARKING LOT,201,OTHER CUTTING INSTRUMENT,JA,Juv Arrest,930,,689 MANCHESTER ST,FIGUEROA ST,33.686569,-118.505829
202147657,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,469,4,Hollenbeck,549,2,625,OTHER ASSAULT,5389 4869,74,M,O,420,GAS STATION,105,SHOTGUN,IC,Invest Cont,625,,8938 FLORENCE ST,,34.033975,-117.771335
230733689,03/29/2020 12:00:00 AM,03/27/2020 12:00:00 AM,372,5,Harbor,1467,1,330,BURGLARY,5845 5375,31,M,X,110,"VEHICLE, PASSENGER/TRUCK",100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,330,900,7206 VERMONT ST,,33.728109,-118.617237
217248797,02/03/2024 12:00:00 AM,01/31/2024 12:00:00 AM,1410,7,Wilshire,1072,2,930,CRIMINAL THREATS,7096 2122,47,M,B,893,MULTI-UNIT DWELLING,103,REVOLVER,JO,Juv Other,930,341,3460 MAIN ST,BROADWAY,34.498821,-118.704441
235199305,07/29/2022 12:00:00 AM,07/26/2022 12:00:00 AM,663,18,Southeast,1054,1,121,RAPE FORCIBLE,3859 5539,12,F,K,762,RESTAURANT/FAST FOOD,0,UNKNOWN,AO,Adult Other,121,,5007 VERMONT ST,BROADWAY,33.674518,-118.603174
238766005,01/03/2023 12:00:00 AM,01/01/2023 12:00:00 AM,924,4,Hollenbeck,585,2,341,THEFT-GRAND,8542 7890,5,M,O,750,"SCHOOL, PUBLIC",103,REVOLVER,JA,Juv Arrest,341,,7415 MAIN ST,,33.745466,-118.270211
204895644,09/12/2020 12:00:00 AM,09/10/2020 12:00:00 AM,2255,16,Foothill,891,2,624,BATTERY - SIMPLE ASSAULT,9461 8980,59,M,C,823,"SCHOOL, PUBLIC",104,RIFLE,AA,Adult Arrest,624,,840 PICO ST,FIGUEROA ST,34.274516,-118.663044
204751554,02/14/2022 12:00:00 AM,02/14/2022 12:00:00 AM,25,20,Olympic,159,1,110,CRIMINAL HOMICIDE,2459 3234,27,M,H,577,ALLEY,102,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110,,8372 HOOPER ST,MAIN ST,34.182719,-117.986693
202344287,06/10/2020 12:00:00 AM,06/10/2020 12:00:00 AM,741,1,Central,139,1,310,BURGLARY,6196 5169,65,F,X,688,SIDEWALK,201,OTHER CUTTING INSTRUMENT,JA,Juv Arrest,310,,2455 WESTERN ST,VERMONT AVE,33.857245,-118.317533
209227829,02/04/2023 12:00:00 AM,02/01/2023 12:00:00 AM,774,12,77th Street,1482,2,220,ATTEMPTED ROBBERY,4301 9054,47,M,A,722,PARKING LOT,104,RIFLE,JO,Juv Other,220,,912 WESTERN ST,,34.265796,-118.209097
216680789,08/23/2021 12:00:00 AM,08/23/2021 12:00:00 AM,1767,8,West LA,1736,2,220,ATTEMPTED ROBBERY,1434 5008,8,X,W,289,"VEHICLE, PASSENGER/TRUCK",100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,1904 FLORENCE ST,MAIN ST,33.548553,-117.778203
227191740,08/25/2024 12:00:00 AM,08/22/2024 12:00:00 AM,689,16,Foothill,1808,2,745,VANDALISM - FELONY,8109 2595,40,X,B,253,OTHER BUSINESS,104,RIFLE,AO,Adult Other,745,121,730 PICO ST,,34.042614,-118.395241
237444417,07/11/2023 12:00:00 AM,07/08/2023 12:00:00 AM,405,10,West Valley,1803,2,341,THEFT-GRAND,6679 3730,27,M,H,559,SIDEWALK,300,BLUNT INSTRUMENT,JA,Juv Arrest,341,,7382 VERMONT ST,,33.567859,-117.816239
201185424,06/20/2023 12:00:00 AM,06/18/2023 12:00:00 AM,700,2,Rampart,1572,1,310,BURGLARY,6086 8696,36,F,B,827,PARKING LOT,300,BLUNT INSTRUMENT,AA,Adult Arrest,310,,7031 FIGUEROA ST,BROADWAY,34.09367,-118.128244
236495090,12/18/2024 12:00:00 AM,12/15/2024 12:00:00 AM,276,5,Harbor,2138,2,520,VEHICLE - ATTEMPT STOLEN,3145 7736,80,F,B,534,PARK/PLAYGROUND,201,OTHER CUTTING INSTRUMENT,AO,Adult Other,520,,981 MAIN ST,,34.114111,-118.167457
225554871,10/30/2024 12:00:00 AM,10/27/2024 12:00:00 AM,1444,1,Central,594,2,420,THEFT FROM MOTOR VEHICLE - GRAND,9518 1160,27,M,W,459,"SCHOOL, PUBLIC",200,KNIFE OR CUTTING INSTRUMENT,AA,Adult Arrest,420,,5836 WESTERN ST,,34.305477,-118.684372
237401959,01/10/2022 12:00:00 AM,01/07/2022 12:00:00 AM,2148,20,Olympic,1045,1,330,BURGLARY,1596 1892,46,F,B,691,PARK/PLAYGROUND,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,330,,8175 HOOPER ST,,33.52276,-118.252326
228294582,03/28/2023 12:00:00 AM,03/28/2023 12:00:00 AM,509,9,Van Nuys,1917,1,121,RAPE FORCIBLE,1098 1202,54,F,O,697,SINGLE FAMILY DWELLING,105,SHOTGUN,IC,Invest Cont,121,330,7061 BROADWAY ST,,34.265681,-117.98727
208835812,01/28/2021 12:00:00 AM,01/28/2021 12:00:00 AM,2139,3,Southwest,800,2,320,BURGLARY FROM VEHICLE,7533 7781,61,M,A,614,MULTI-UNIT DWELLING,102,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,320,,1124 HOOPER ST,,34.049917,-118.043517
240491322,12/13/2023 12:00:00 AM,12/12/2023 12:00:00 AM,2346,18,Southeast,839,2,220,ATTEMPTED ROBBERY,6613 2979,75,M,B,344,RESTAURANT/FAST FOOD,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,220,,6137 MANCHESTER ST,,33.519227,-117.811461
239371766,05/22/2020 12:00:00 AM,05/20/2020 12:00:00 AM,2002,7,Wilshire,134,2,624,BATTERY - SIMPLE ASSAULT,8770 8905,36,M,W,214,STREET,105,SHOTGUN,JO,Juv Other,624,624,2586 VENICE ST,VERMONT AVE,33.867718,-118.098785
232815023,04/03/2020 12:00:00 AM,04/02/2020 12:00:00 AM,17,18,Southeast,259,2,745,VANDALISM - FELONY,6771 6964,9,M,K,534,"VEHICLE, PASSENGER/TRUCK",400,VEHICLE,AO,Adult Other,745,,3028 WESTERN ST,,34.184956,-118.423782
227071503,09/16/2023 12:00:00 AM,09/13/2023 12:00:00 AM,1499,11,Northeast,249,1,510,VEHICLE - STOLEN,7678 6691,44,X,W,168,SINGLE FAMILY DWELLING,102,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,510,,1161 FIGUEROA ST,,33.984266,-118.100365
206061947,04/11/2021 12:00:00 AM,04/08/2021 12:00:00 AM,2316,2,Rampart,113,1,510,VEHICLE - STOLEN,4634 2120,36,F,W,664,PARK/PLAYGROUND,0,UNKNOWN,JO,Juv Other,510,,5889 VERMONT ST,,34.314973,-118.017876
222305304,05/02/2024 12:00:00 AM,05/01/2024 12:00:00 AM,386,20,Olympic,577,2,740,VANDALISM,9116 1154,85,F,K,693,ALLEY,400,VEHICLE,AA,Adult Arrest,740,,9545 MANCHESTER ST,,33.867078,-118.728046
229612244,08/15/2021 12:00:00 AM,08/13/2021 12:00:00 AM,1776,7,Wilshire,1787,2,520,VEHICLE - ATTEMPT STOLEN,1749 4364,0,M,C,879,PARK/PLAYGROUND,105,SHOTGUN,IC,Invest Cont,520,,5770 FLORENCE ST,,34.443819,-118.381379
219463703,06/12/2020 12:00:00 AM,06/09/2020 12:00:00 AM,435,19,Mission,1402,2,520,VEHICLE - ATTEMPT STOLEN,3629 6210,78,F,K,184,OTHER BUSINESS,101,HAND GUN,AO,Adult Other,520,,255 VERMONT ST,,34.02091,-117.75108
214801812,10/17/2024 12:00:00 AM,10/14/2024 12:00:00 AM,459,2,Rampart,472,2,320,BURGLARY FROM VEHICLE,4846 3034,38,X,F,515,"VEHICLE, PASSENGER/TRUCK",400,VEHICLE,AO,Adult Other,320,,3864 VENICE ST,,34.405919,-117.848007
221742989,04/21/2021 12:00:00 AM,04/21/2021 12:00:00 AM,2060,13,Newton,222,1,330,BURGLARY,4870 1234,53,F,F,177,MULTI-UNIT DWELLING,102,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,330,330,1421 FLORENCE ST,,34.167644,-118.734742
228307215,11/09/2024 12:00:00 AM,11/06/2024 12:00:00 AM,1788,21,Topanga,857,1,210,ROBBERY,1578 3287,12,M,W,437,GAS STATION,105,SHOTGUN,IC,Invest Cont,210,624,9264 MANCHESTER ST,VERMONT AVE,34.204717,-118.067722
208913374,07/25/2020 12:00:00 AM,07/22/2020 12:00:00 AM,866,14,Pacific,1222,1,410,THEFT FROM MOTOR VEHICLE,3125 1839,56,M,H,759,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,JA,Juv Arrest,410,,5169 BROADWAY ST,,34.140212,-117.917708
220777781,02/17/2022 12:00:00 AM,02/14/2022 12:00:00 AM,2193,15,N Hollywood,258,2,900,SEX OFFENSES,4939 6835,35,M,F,786,STREET,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,900,745,1619 VERMONT ST,,34.144764,-118.077421
206207289,07/23/2021 12:00:00 AM,07/22/2021 12:00:00 AM,1521,6,Hollywood,445,1,410,THEFT FROM MOTOR VEHICLE,4437 4297,47,F,F,706,PARK/PLAYGROUND,400,VEHICLE,IC,Invest Cont,410,,2275 PICO ST,,33.934776,-118.330672
240939322,07/17/2022 12:00:00 AM,07/17/2022 12:00:00 AM,1361,4,Hollenbeck,1689,2,624,BATTERY - SIMPLE ASSAULT,6016 9902,40,F,O,703,OTHER BUSINESS,101,HAND GUN,IC,Invest Cont,624,,5227 FIGUEROA ST,,34.245967,-118.494712
202925911,07/25/2023 12:00:00 AM,07/22/2023 12:00:00 AM,2253,14,Pacific,641,2,740,VANDALISM,1171 8681,52,M,K,456,OTHER BUSINESS,201,OTHER CUTTING INSTRUMENT,IC,Invest Cont,740,,1842 VENICE ST,,34.090084,-118.748945
